matra,frequency
ा,331338.0
ि,148077.0
ी,174385.0
ु,53791.0
ू,23774.0
े,259573.0
ै,54658.0
ो,105866.0
ौ,7935.0
ं,150143.0
ः,220.0
ँ,50.0
ृ,1717.0
