swar,frequency
अ,26450.0
आ,23630.0
इ,24414.0
ई,16988.0
उ,19691.0
ऊ,692.0
ए,36769.0
ऐ,2693.0
ओ,3612.0
औ,14814.0
अं,1806.0
अः,0.0
ऋ,154.0
