vyanjan,frequency
क,276040.0
ख,20231.0
ग,57604.0
घ,4865.0
ङ,0.0
च,28817.0
छ,7640.0
ज,67983.0
झ,2347.0
ञ,348.0
ट,42636.0
ठ,4596.0
ड,27469.0
ढ,2519.0
ण,6302.0
त,104323.0
थ,22106.0
द,77011.0
ध,15181.0
न,159346.0
प,92719.0
फ,22698.0
ब,69262.0
भ,23860.0
म,130809.0
य,79440.0
र,249267.0
ल,120525.0
व,63058.0
श,34532.0
ष,10403.0
स,155795.0
ह,144257.0
