digram,frequency
जय,41
की,25807
पर,12362
ने,17355
कि,11688
कर,6623
एक,6777
का,12972
के,41170
ली,284
है,7822
और,14609
ही,4936
तो,3693
को,20316
उठ,40
दी,1578
सौ,38
से,17277
भी,8269
उस,725
वो,1486
लग,222
हो,3916
ये,2574
आज,556
अब,1950
जो,1565
तक,2256
गई,1903
कम,634
जब,1389
इस,6863
था,1504
दे,673
आम,395
दो,1180
जा,2378
गए,1295
नई,307
रह,287
जी,293
नौ,72
तब,371
ना,294
या,862
..,10
हर,670
शो,383
कल,82
मे,96
ला,44
भर,219
ऐप,124
यू,20
मं,1
यह,2719
सब,248
हम,778
थी,592
बस,165
कई,1617
बी,34
मई,264
ले,619
चल,491
बच,31
वह,1731
बन,357
डर,120
सो,41
आई,440
मर,17
इन,992
ओर,615
वे,925
रख,119
आप,768
मन,111
उन,423
घर,971
आए,413
सच,88
मत,45
नए,425
गौ,18
पद,278
गे,5
कह,222
धन,60
दल,289
खत,26
आय,34
एम,31
वी,24
थे,466
दा,1
सा,46
तय,282
दम,73
सी,90
छह,168
शक,118
खा,28
जू,1
एज,5
बल,97
शव,158
यश,11
छत,21
आग,142
आठ,101
वद,1
एप,25
टू,26
पा,92
ऐन,9
ओम,55
बम,101
पल,30
जल,59
एस,46
पी,51
थम,11
डी,30
कब,59
दस,60
मच,35
कट,20
डे,57
ऐड,10
कस,6
शह,7
जज,74
रच,16
पे,9
लव,78
अल,39
सर,36
ईद,51
टन,19
दू,1
गत,10
हक,65
खो,33
भू,2
हल,36
जप,5
तप,1
तू,6
हे,2
जन,28
ऋण,5
खल,4
मा,4
हद,43
उप,43
वन,61
अप,6
ठन,6
आर,30
कप,55
जे,21
हट,11
एन,20
घी,10
हब,4
बज,21
पथ,8
बे,1
दर,54
छा,9
आफ,8
धर,15
नव,7
झा,28
ई.,3
ओ.,4
नन,17
आस,11
रब,1
आइ,1
रथ,8
तन,4
यस,13
घट,9
कद,20
सह,19
टु,5
एल,11
रस,10
पट,2
फन,5
रन,84
आन,2
डा,2
छू,13
भा,6
बह,8
सट,1
फल,32
ठग,11
डब,4
फू,1
एड,8
नम,3
जच,2
गो,7
शी,16
नो,6
गन,11
धो,7
ओड,2
रा,9
रे,13
गा,4
जग,7
वध,10
सन,3
नट,2
हज,6
नच,7
लत,9
घई,14
कण,3
ईज,4
मठ,6
टल,16
ठप,6
पब,21
भय,6
फट,2
बै,1
टच,11
नस,1
छठ,16
ईश,1
नभ,1
लो,8
टी,17
अम,1
पच,2
जद,3
मऊ,11
गम,4
पू,1
टफ,3
एच,4
लय,6
हू,1
मी,1
ढा,1
री,1
गज,3
तह,8
नह,1
आश,1
डल,1
ऊब,1
हग,2
ए.,13
रण,7
बठ,1
रो,4
इज,3
थक,2
फर,2
तट,13
ओए,4
आल,2
दि,3
ढह,2
यो,2
जव,1
प्,2
लद,1
छः,1
लौ,1
हस,1
प.,1
दब,1
रु,5
रू,1
सू,15
ची,8
ऐश,6
उर,3
उल,4
रद,1
रट,1
भं,1
नः,1
भट,5
जस,2
तस,2
टस,1
मस,1
पन,1
ता,1
धक,1
औप,2
खस,1
न.,3
एट,2
मद,5
ऐज,1
वर,2
दु,1
नी,2
नल,4
छप,1
एव,1
बा,2
गल,1
उद,2
नय,1
डच,2
भो,1
यक,1
पो,2
चे,2
द.,1
चक,3
रग,2
हए,2
डो,1
लू,5
डग,3
लि,1
तल,2
गप,1
बू,1
वि,1
लए,1
शत,1
यद,1
हफ,2
डट,3
गण,1
इल,1
एफ,2
सम,2
टब,1
कफ,1
