ending,frequency
होता,42
है,17572
पाती,5
गया,1268
उठाया,27
दूंगा,6
क्या,23
हुई,282
में,52
करेगी,107
हुआ,291
वहां,3
देगी,45
जाएगा,500
होगी,397
दोगुना,1
मिलेगा,96
दिलाएगा,2
थी,2218
गई,859
पाई,30
तक,1
बनेगा,15
कांग्रेसी,1
हैं..,20
हैं,7251
की,663
करो,8
.,10
बनाएं,8
आया,80
जाएंगे,133
,165
रखूंगी,2
था,3323
लागू,1
होगा,500
करें,232
देंगे,110
आएगा,37
करेगा,90
जाते,13
करेंगे,322
से,18
दी,535
थे,1617
सौंपी,3
गए,601
किया,895
गिरीं,1
लगी,57
बचाया,3
गिरे,2
हुए,131
निकले,25
लगे,91
सके,142
गुजारी,1
रहे,187
मिली,98
सकी,15
कीं,15
जीतीं,6
मिलीं,11
लीं,5
रहा,184
थीं,273
रही,122
दिया,915
लगाए,33
ठहराया,10
लगवाएंगे,1
दिए,90
मिलेगी,57
हूं,285
ली,156
मिले,61
पहुंची,37
देगा,50
मिलें,3
चाहिए,491
हों,40
सकतीं,5
नहीं,191
होंगी,49
अलर्ट,1
रिपोर्ट,1
अपनाए,1
हो,187
लगाई,19
सुनाया,14
जताई,13
डाला,41
करना,12
पहुंचा,19
आए,133
पाएंगे,54
बाद,4
जाए,209
रहेगा,67
रखें,33
आएंगे,82
बताया,92
गिनाया,3
लिया,339
जाऊंगा,6
जाएगी,250
सकेगा,27
संधू,2
निभाया,4
दिखा,6
माना,4
दे,22
कहानी,5
जाओ,4
का,41
पाएगा,14
मंगलवार,1
प्वाइंट,1
बेटी,1
मचाया,3
चली,19
कहीं,7
लाया,3
जाती,6
रहेगी,27
यूं,2
सुनी,7
रखा,30
आर.के,4
होंगे,175
पहुंचे,109
किस्से,2
लें,66
पूछा,12
माने,2
लूंगा,5
रहीं,44
संभाला,10
कराई,31
मिला,99
सकते,44
देखा,15
के.पी,3
खाई,2
सुनाई,21
लगा,78
हटाया,3
वी,10
हमला,1
बोला,25
लक्ष्य,2
बदले,6
बताईं,1
पाईं,8
जानते,5
लगाया,31
करेंगी,52
सकेंगे,47
पहनें,5
जाएं,57
आई,74
जाता,16
लेते,4
भेजेगी,1
मो,12
बनाएंगे,8
जाना,5
है्,1
पाए,38
रहेंगे,63
सौंपा,8
में..,5
दिखता,4
सकें,47
दें,77
देंखे,1
एक,1
कराएंगे,3
घूमें,1
बचें,7
मिलेंगी,4
आशंका,1
कहेंगे,4
लाए,3
करे,48
कसा,5
बनाई,19
ओह..,1
शुक्रिया,8
आरोप,1
परिवार,1
थें,3
मिलेंगे,28
कहा,58
अंजाम,4
रखी,22
पाया,27
अपडेशन,1
निकालेंगे,4
लगाएंगे,5
भेजना,1
रची,6
सका,29
हुईं,22
दिखेंगे,16
खान,3
देश,3
निकली,11
चीफ,1
आईएसआई,1
इराक,1
सीरिया,1
डाली,19
बनाया,38
दिखे,24
सकता,67
आएगी,29
लेगी,11
बनी,11
छपे,1
हो..,2
बरपा,1
झंडे,1
पास,2
मुक्त,1
चलेंगे,2
शामिल,1
आदेश,3
ऐलान,2
दीं,17
सकती,29
खास,11
दिखेंगी,10
मिलाएं,1
रखो,1
चाहते,12
चाहिये,1
मनोकामना,1
देंगी,15
बनें,1
बनेगी,7
जी,12
लगेंगे,9
गईं,57
नकारात्मक,1
कहूंगा,2
जताया,12
बधाई,7
हिंद,2
मातरम,2
दिन,3
इंडिया,1
क्यों,6
सदगमय,1
ज्योतिर्गमय,1
गमय,1
करवावहै,1
विद्विषावहै,1
आप,3
चाहेंगी,2
आएंगी,53
आसानी..,1
माएगा,1
करते,23
महामंच,1
ठाने,1
है..,28
पी,34
कैद,4
