monogram,frequency
न,766
।,3
व,120
आ,954
द,103
अ,4
.,123
ऐ,7
क,6
ब,4
ई,9
उ,2
ए,43
स,1
र,1
झ,1
ल,1
ओ,12
ॐ,2
ज,1
ह,1
म,1
ं,1
ख,1
