n,Fn
0.0,5.954196310386875
1.0,4.972278613589309
2.0,3.6484594289361345
3.0,7.560706054040316
4.0,4.891845102857649
5.0,7.804832849858939
6.0,4.696799379944987
7.0,7.307064432874154
8.0,4.061450842575726
9.0,6.699693017709484
