matra,frequency
ा,217636.0
ि,97786.0
ी,114180.0
ु,35222.0
ू,15532.0
े,170339.0
ै,36111.0
ो,69776.0
ौ,5375.0
ं,98453.0
ः,132.0
ँ,23.0
ृ,1119.0
