triagram,frequency
काम,740
खुश,73
हूं,163
कहा,2569
हैं,1713
में,20886
आने,416
बोल,51
रहे,1781
थे.,1073
गया,2119
देश,835
हुए,1636
बंद,288
सभी,594
लगा,311
किए,471
कोई,1007
है.,11740
अगर,501
फिर,722
कोड,10
लिए,3591
दिए,319
साथ,2364
राम,261
जीत,205
टीम,327
लेग,3
मैच,83
दी.,357
अंक,96
कुल,179
छठे,8
आउट,49
बाद,2612
राज,80
कौर,20
की.,400
डेथ,16
तरफ,288
चार,249
पार,64
गति,17
हाथ,172
बीच,728
इसी,463
सिर,108
कभी,231
रही,1878
दमन,2
बदल,93
साल,1243
रात,310
जहर,19
जान,120
कुछ,1124
सात,90
खेत,18
बात,1122
नजर,493
रखे,48
देख,128
मौत,436
भले,55
हुई,818
इसे,423
मना,56
असर,99
दिन,762
मां,296
हाल,237
ताऊ,1
आपस,13
उसे,633
शाम,152
जाट,23
समय,567
हुआ,705
ठीक,102
बने,126
नाम,640
चौक,21
गली,13
बगल,16
तरह,879
देर,131
शरण,9
ली.,83
डटे,5
का.,17
औैर,1
जंग,48
आता,68
बंध,8
भाई,144
लोग,607
मिल,287
बना,270
था.,2174
रहा,1632
नया,153
दूर,121
यही,187
थी.,1357
ऐसा,414
रूप,346
गई.,501
याद,90
जला,14
फंस,23
आई.,53
लाख,373
रु.,31
जले,3
भरा,33
जमी,2
अभी,446
अमन,6
बता,440
जिन,79
कौन,82
खाए,5
दे.,14
राय,183
जेल,347
गाय,37
वोट,227
सफर,61
झलक,25
अजय,79
मात,15
खुद,358
जिस,267
ऐसे,565
ऊपर,98
खान,446
तीन,475
बार,892
हों,31
खास,229
फुल,12
समझ,59
तभी,89
पवन,47
दिल,98
नेक,5
सही,126
असल,37
पुट,3
ऐसी,262
भरी,32
सीन,45
आती,85
वही,70
लगी,131
रोल,111
जाए,95
लोक,27
गीत,28
रंग,55
समी,2
थेक,1
जगह,217
टाल,15
मैं,522
तूल,8
जोर,70
खबर,236
पता,285
चला,155
सगे,7
वजह,460
बिग,122
मूड,28
शूट,43
अबू,22
गृह,146
रेप,149
केस,343
साफ,253
दिख,103
लगे,148
रोड,57
पुर,3
जोन,17
कमर,12
जैन,33
खेम,2
नवन,1
उतर,40
करण,98
छूट,41
फैन,37
हार,88
दौर,71
असम,43
शशि,39
कमी,84
आगे,259
सबक,23
रूस,63
भी.,20
कूद,8
एयर,52
उधर,24
बहस,54
अहम,141
यूं,29
घुस,22
तौर,288
बशर,3
असद,6
आया,249
ने.,9
कलम,14
डाल,39
अलग,221
गला,30
खौफ,18
नदी,48
झील,6
रखा,182
खुल,22
तुम,60
चैन,8
मार,137
हो.,119
रेत,14
चली,76
हीं,2
चाय,48
सभा,56
थीं,43
करी,2
थकी,2
माफ,25
कही,88
फेक,25
रूम,37
पेज,22
आये,15
छपी,13
खूब,69
कवि,18
पहल,22
नोट,79
कदम,137
हित,13
गलत,113
खेल,91
पास,610
चीन,272
यार,2
आते,124
मान,34
लें,23
ढाल,3
चुप,14
मगर,115
सोच,57
रखी,92
रोक,131
कैद,44
छीन,14
होठ,1
बचा,29
उठी,8
उपर,5
वार,33
ढंग,25
लाश,132
खफा,15
गए.,399
आकर,62
जाम,21
आधा,29
शिव,38
आजम,54
के.,23
तंज,24
बजे,247
डील,38
सतह,9
काट,43
सटी,5
रकम,54
दें,346
टूर,13
एली,7
शाह,211
रौब,4
