word,frequency
सुब्रमण्यम,16
स्वामी,95
के,27174
काम,740
से,11269
खुश,73
हूं,163
लेकिन,1651
वित्त,105
मंत्री,508
नहीं,3908
बीजेपी,1037
सांसद,260
ने,11298
कहा,2569
है,5189
कि,7645
वह,1185
केंद्र,266
की,17003
मोदी,1028
सरकार,1615
तो,2306
संतुष्ट,20
हैं,1713
अरुण,82
जेटली,80
नहीं.,90
रविवार,190
को,13480
इंडिया,210
सेंटर,64
में,20886
आने,416
वाले,1030
यूपी,310
विधानसभा,328
चुनाव,858
पर,8054
बोल,51
रहे,1781
थे.,1073
उन्होंने,1664
यहां,505
तक,1456
कह,159
दिया,1583
सिर्फ,384
प्रधानमंत्री,435
नरेंद्र,303
जानते,94
कैसे,161
निपटा,5
जाए.,138
अंग्रेजी,31
अखबार,50
टाइम्स,33
अनुसार,102
जब,884
ये,1675
पूछा,125
गया,2119
भारत,848
टैक्स,83
हेवेन,1
देश,835
या,511
अर्थव्यवस्था,32
देखते,127
हुए,1636
आयकर,13
विभाग,199
बंद,288
कर,4343
देना,138
चाहिए.,295
सभी,594
देने,551
वालों,173
निर्माण,95
लगा,311
मुद्दे,160
राजनीति,178
किए,471
जाने,626
लेकर,1124
लोगों,1241
मुद्दा,81
कोई,1007
समस्या,78
है.,11740
अगर,501
कांग्रेस,1092
सकती,350
फिर,722
हमारी,124
क्यों,180
भी,5423
अपने,1747
का,8595
बखान,2
करना,479
बताया,887
सर्जिकल,35
स्ट्राइक,40
उत्तर,397
प्रदेश,614
दौरान,830
उठाया,31
जाएगा.,305
सिविल,25
कोड,10
मुसलमानों,80
इस,4447
ऐतराज,1
हम,472
आपत्ति,31
जताएं.,1
संविधान,52
अनुच्छेद,11
लिए,3591
समान,30
अधिकारों,32
वकालत,14
करता,290
उनके,967
अधिकार,84
दिए,319
जा,1594
हैं.,4563
साथ,2364
ही,3229
राम,261
मंदिर,230
उठाते,34
पार्टी,1038
केवल,94
विकास,177
जीत,205
सकती.,21
भरोसा,81
दे,446
उनकी,678
जीतने,69
संभावना,56
जाएगी.,163
भारतीय,462
महिला,477
क्रिकेट,57
टीम,327
श्रीलंका,24
बल्लेबाजों,6
उपयोगी,7
योगदान,46
और,9520
लेग,3
स्पिनर,8
पूनम,5
यादव,373
अगुवाई,36
गेंदबाजों,10
प्रदर्शन,128
पहले,1561
एकदिवसीय,2
अंतरराष्ट्रीय,50
मैच,83
रन,70
करारी,6
शिकस्त,11
दी.,357
दो,814
अंक,96
मिले,133
कुल,179
नौ,47
छठे,8
स्थान,72
पहुंच,186
गई,1222
बल्लेबाजी,6
न्यौता,6
मिलने,231
स्मृति,19
मंदाना,4
तिरुष,1
कामिनी,1
विकेट,65
अच्छी,98
शुरुआत,183
दिलाई.,10
इन,648
दोनों,771
आउट,49
होने,1125
बाद,2612
कप्तान,36
मिताली,1
राज,80
हरमनप्रीत,1
कौर,20
तीसरे,58
साझेदारी,10
की.,400
झूलन,1
गोस्वामी,1
गेंद,32
शिखा,22
पांडे,20
वेदा,1
कृष्णमूर्ति,1
नाबाद,10
डेथ,16
ओवरों,8
तेजी,76
बनाकर,62
मजबूत,108
स्कोर,20
पहुंचाया.,10
तरफ,288
शशिकला,3
श्रीवर्धने,1
उदेशिया,1
प्रबोधिनी,1
लिए.,31
शुरू,654
झटका,21
लगने,68
बेहद,154
धीमी,7
उसकी,407
चार,249
बल्लेबाज,27
दोहरे,5
पहुंची,87
जिनमें,56
प्रसादिनी,1
वीराकोडी,1
गेंदों,8
पार,64
पाई.,22
ब्रेक,22
गुगली,3
गेंदबाज,18
देकर,135
मध्यम,10
गति,17
दीप्ति,5
शर्मा,138
बाएं,3
हाथ,172
राजेश्वरी,1
टीमों,9
बीच,728
अगला,20
वनडे,32
इसी,463
मैदान,84
फरवरी,92
खेला,15
दलित,111
प्रतिरोध,3
प्रयोगशाला,5
हरियाणा,171
सिर,108
उठाकर,22
जीना,4
चाहते,200
उन्हें,914
इसकी,242
कीमत,93
कभी,231
हत्या,474
बलात्कार,70
शक्ल,11
चुकानी,4
रही,1878
वहां,365
जितना,38
दमन,2
उतना,29
संघर्ष,31
बदल,93
गांव,249
साल,1243
एक,4602
सितंबर,101
रात,310
जहर,19
खाकर,7
जान,120
क्योंकि,362
नाबालिग,74
बेटी,137
इज्जत,4
जाटों,12
कुछ,1124
न,506
सका.,20
आरोप,571
सात,90
उसके,643
खेत,18
किया,2784
पांच,225
बात,1122
नजर,493
रखे,48
थे,269
देख,128
पाए.,25
यह,1848
मोबाइल,96
तस्वीरें,66
खींची.,2
पिता,164
मौत,436
भले,55
शर्मिंदगी,4
चलते,201
हुई,818
इसे,423
स्वाभिमान,1
बनने,126
ज्यादा,591
वक्त,292
लगा.,45
समुदाय,104
तब,270
शव,87
अंतिम,76
संस्कार,30
करने,2275
मना,56
आरोपी,455
गिरफ्तार,491
होते.,5
इसका,257
असर,99
हुआ.,177
दिल्ली,1267
सरकारों,25
हलचल,9
हुई.,183
राष्ट्रीय,196
अनुसूचित,15
जाति,42
आयोग,141
उपाध्यक्ष,38
राजकुमार,44
वेरका,1
राज्य,469
अध्यक्ष,431
सुशीला,2
घर,579
पहुंचे.,57
दिन,762
मां,296
टुडे,65
गरीब,32
कमजोर,49
इसलिए,269
निशाना,128
बनाया,187
गया.,816
अब,1273
हमारा,49
सब,145
बर्बाद,23
हो,2652
चुका,174
मांग,324
हर,452
हाल,237
उन,256
बदमाशों,134
ताऊ,1
नेता,536
मीडिया,354
दें.,37
आपस,13
करके,229
निबटाते,1
पंचायत,27
उनका,346
कहना,299
देखा,146
पुलिस,2162
उसे,633
सकी.,13
शाम,152
आरोपियों,177
लिया.,210
पक्ष,132
आरोपों,97
आठ,63
जाट,23
मुख्यमंत्री,436
भूपेंद्र,25
सिंह,921
हुड्डा,39
पूरे,249
मामले,1029
बयान,316
संपर्क,81
जनसंपर्क,2
समय,567
उपलब्धता,12
हवाला,33
दिया.,633
हिसार,8
डिप्टी,16
कमिश्नर,40
अमित,167
कुमार,357
अग्रवाल,27
अत्याचार,17
हुआ,705
बनाम,8
ठीक,102
कांड,37
अकेली,11
घटना,321
घटनाएं,33
होती,282
जहां,442
दलितों,49
वे,607
दर्शक,18
बने,126
रहना,49
मेहमान,20
डीसी,3
दफ्तर,47
सामने,547
महीने,317
जिले,277
भगाना,3
बहुत,448
परिवार,284
डेरा,73
जमाए,2
मई,158
विवाद,181
ग्राम,21
जमीन,115
भीमराव,3
आंबेडकर,1
मूर्ति,33
लगाने,157
प्ले,25
ग्रांउड,1
पट्टे,1
उठाई.,4
विरोध,223
