ending,frequency
नहीं,96
थे,1076
जाए,140
चाहिए,301
है,11881
जाएगा,306
जताएं,1
हैं,4608
सकती,23
जाएगी,165
दी,359
दिलाई,10
की,402
पहुंचाया,10
लिए,31
पाई,22
सका,20
पाए,25
खींची,2
लगा,45
होते,6
हुआ,184
हुई,186
पहुंचे,57
गया,826
दें,38
सकी,13
लिया,211
दिया,638
उठाई,4
रहा,102
लगी,44
ली,83
का,17
था,2183
थी,1366
गई,506
आई,54
कराए,8
रु,31
मिला,65
चाहते,6
क्या,11
पाएंगे,25
दे,15
मिली,65
बताया,75
रखा,22
होगा,291
देती,1
फीसदी,2
होती,13
करते,19
हूं,160
करेंगे,207
आएंगे,61
एन.के,2
कराया,18
रैली,1
सकेंगे,25
होंगे,130
करेगी,67
होगी,252
केरल,1
जेट्स,2
भी,21
चाहिए.,1
करें,129
जाएं,37
किया,548
ने,9
दीं,14
तरह,1
में,38
रखना,2
पाओगे,2
हो,122
रुकेंगे,2
रहेंगे,39
बताए,2
थीं,202
पिलाऊंगी,1
बातें,4
सकूं,1
कहा,30
,95
जाएंगी,18
सकेगा,20
अत्याचार,1
मंडराएगा,2
लीजिए,8
रखती,1
होतीं,3
खाएंगे,1
पिएंगे,1
ओढेंगे,1
पहनेंगे,1
करता,5
चलेगी,4
गए,400
दागे,2
चलाई,4
किए,58
सुनी,6
डाला,25
के,24
मिलाकर,1
मारूंगा,1
लेंगे,24
सिस्टम,1
रही,80
देंगे,65
दबोचा,7
जाएंगे,97
बैठा,3
लगाई,13
मिलेगा,66
सके,85
जताया,10
देंगी,10
करेंगी,26
जायेगी,2
बनाएगी,8
दिए,70
रहीं,22
होता,22
दिखाई,12
बने,17
फेंकेंगे,1
बांटे,1
लाएगा,2
दीजिए,9
मायने..,1
क्यों,5
करेगा,68
सकता,60
सुहागा,1
तो..,2
मुझे,2
करेगी...,1
रहेंगी,8
चाहिये,3
करूंगा,9
होना,3
निकाली,4
हों,29
रखेंगे,6
सकें,30
गईं,33
हुए,100
भेजीं,2
उठाएंगे,5
आएंगी,31
बनाई,17
पहुंचेगी,6
मिलूंगा,3
को,7
सकेगी,6
आर,4
झटके,1
खेलें,1
लगे,56
मारते,1
चला,16
कराएंगे,6
आएं,6
रहे,108
कमाल,1
मचाया,3
पहुंची,28
मानते,3
कीजिए,11
लौटे,5
बार,1
खोया,2
कही,24
आती,3
खान,4
आए,83
बताऊं,1
जानता,4
दूंगा,6
रहेगा,34
रोकते,1
भरी,6
कैमरा,1
वजह,4
बना,3
गुजरी,3
लगता,4
कराएगा,5
जानें..,2
काम,1
उठें,1
लगेगी,4
खाएं,1
पाते,6
बचें,7
हत्या,1
उठाए,4
ए.के,3
मिलेंगे,17
कराई,16
आया,46
त्यागी,1
पर,11
खरीदेगा,2
वी.के,1
वी.एस,1
देखी,7
आएगा,26
कीजिये,1
बनेंगे,7
निभाई,2
भेजेगी,2
खबरें....,2
साथ,9
प्रवचन,1
संभालेंगे,3
पहुंचा,10
देगा,22
दिखेंगी,4
बनेगी,5
कराएगी,5
चाहेंगे,10
दोहराई,3
पाएंगी,2
अाया,1
से,12
चलेगा,10
उठाया,22
सरकार,2
देगी,23
कराएं,2
उठाएगा,1
फायदे,3
जताई,16
जायेगा,4
समझें,1
पाया,13
श्मशान.,1
भागे,2
खुला,8
बदली,3
दिखा,4
समझाए,1
बोला,12
खाते,1
करुंगी,1
करवाए,3
जााएगा,1
लेगा,15
मारा,10
लगाया,24
टिकेंगी,1
मरूंगी,1
चले,1
बताएगा,3
कीं,14
रखे,3
सकते,40
मुस्लिम,1
बस,2
बसें,2
साधा,19
चलते,1
चाहता,5
मांगी,2
बताई,14
होम,1
था.,1
बराबर,1
उतारेंगे,1
टी,3
कपूर,2
स्माइली,2
विधाएं,1
बीच,1
टिकी,1
बनें,2
मानें,2
शायरी,1
सुनाया,19
लव,1
सच,4
और,2
जाता,11
भिजवाया,1
खोला,4
चली,8
घई,1
साल,1
सूरी,1
पाएगा,13
लौटाएंगे,2
बताएं,2
उतारा,4
खुले,2
बनाए,17
परेरा,1
कुमार,4
बुलाएगी,1
मिले,41
मिलाया,4
रुके,2
ठहरे,1
मिलेगी,45
स्टोरेज,2
नरम,1
देता,4
निकला,11
रहें,13
क्यों.,1
बिंदू,1
पाएगी,6
सच्चाई..,2
गिनाए,2
किमी,9
जाते,9
पहुंचाएंगे,2
जुटे,2
गिराया,10
आर.एन,2
कैंसर..,1
हैं..,12
राइटर,1
सोची,1
लिखी,1
जानेंगे,1
बुलाया,12
दिखाए,2
जाना,6
होगा..,2
उठाएगी,3
उठेगा,3
करे,37
फिल्म,3
विदाई,1
गलत,1
ले,6
सामने,1
वाला,3
पूछे,4
लिखा,3
किये,2
वजह..,2
करवाईं,2
रखता,1
जानते,5
करतीं,4
मौका..,2
दिखेगा,6
रहेगी,17
लें,37
रोई,1
रखेगी,5
सुना,4
फैसला,1
हारी,1
सुझाव,1
बैठे,4
लगेंगे,10
देखा,9
निकले,17
.,9
सुनीं,1
सुनाएगा,3
होंगी,25
भी..,1
देखेंगे,8
लेगी,8
था..,3
करो,9
दुख,1
खुलासा,1
बौखलाहट,1
आईला,1
आरोपी,1
दावेदारी,1
सुनेंगे,2
ज्यादा,1
नहीं..,3
मिलता,7
रखेगा,3
खुलेगा,1
..,3
लेकिन..,1
बचाते,1
सुनाए,4
पातीं,3
करवातीं,1
मारी,2
के.वी,2
सौंपा,4
लो,5
निर्देशित,1
मानेंगे,2
उठी,1
चुनें,4
कहें,2
होता..,2
है..,18
रखी,11
बनाएं,6
जगह,1
बढाएं,1
रहिए,3
पोल,2
शूटिंग,2
मांगेगी,1
लगाएगी,1
खींचेगा,1
कहानी,5
जान,1
अफवाह,1
गर्इ,1
दिलाया,2
करना,9
स्वीकारेगा,1
दिख,1
खाना,2
पाउंगा,1
पाएं,2
चुना,5
लगते,1
सुधरेगी,1
खेलूं,1
खबरें,2
खास,6
लगेगा,13
यार,1
जन्म,1
बनता,1
पतला,1
जीते,4
देते,4
एस,7
आईं,18
बनाना,1
तैयारी,2
लगीं,4
बुलाएंगे,2
ठहरिए,1
बहार,1
गाएं,1
सुकून,1
बाहर,2
जाती,5
हुईं,16
आएगी,15
रहीम,1
वैन,1
कैमरे,2
वस्तुएं,1
फोन,1
ड्राइव,1
शामिल,2
दो,3
सकतीं,5
बदला,3
फायदा,1
सुलझाया,1
रहे...,2
गरजेंगी,1
दिमाग,1
शादी,3
राजपूत,1
किए..,2
बनी,10
हेयर,1
फांसी,1
जल्लाद,2
कब,1
मलिक,1
मांगा,6
ए,6
दिखी,4
मत,1
मनवाया,1
बंटोरी,1
आयी,1
विकास,1
गयी,4
बची,1
बहाया,3
फेकें,1
रखें,16
तक,3
शुरू,1
रुपये,1
पी,8
यू.यू,1
दिखे,13
जीता,7
स्व,1
एच.डी,2
ठहराया,6
उतारेगी,2
लगाएं,12
दिये,1
दिखाया,6
चलाईं,1
एक,2
मिलाते,1
शब्द,1
दिखाओ,1
उकसाया,1
देखता,1
जाइए,1
परोसे,1
वयस्क,1
एल,2
मनाया,7
हैंं,1
के.पी,4
खेली,2
बजट,1
समझा,5
उम्मीद,1
संबोधन,1
उस्ताद,1
दिन,2
जानती,1
एंट्री,1
लाएंगे,5
आजमाएंगे,1
उतरेंगे,2
बधाई,6
कहूं,1
लूंगा,4
सौंपेगी,3
थें,4
नोचते,2
पाय,1
चीखती,1
दोस्त,1
ट्वीट,1
दिलाएंगे,3
दरार,1
बनीं,6
छटेगा,1
पालें,1
जे,3
भेजा,8
डराती,1
रहती,1
पाता,5
सुलझता,1
की..,2
पहचानता,1
देखो,1
बनाएगा,1
धरम,1
उतारी,1
मुकाबले,2
जमाए,1
खटखटाया,2
चाहिेए,1
परेशानी..,1
दिखुंगी,1
पीटा,3
होंगे..,1
आदि,2
खबर,2
चलें,1
लगाए,20
पता,4
बताइए,1
मांगिए,1
आऐ,1
खाऐंगे,1
करवाया,5
महामंच,2
हेडली,1
सबब,1
तौलेगा,1
बनाएंगे,6
बदलता,1
कहते,3
महीने,1
मजबूरी,1
उगली,1
डा,4
पहुंचेंगी,2
बनेंगी,1
बदलाव,2
उभरी,1
डाली,11
सुनाई,12
पास,3
वर्णन,1
चलाएगी,1
पिलाई,1
लोचा,1
पाती,4
अहमद,1
सुतारिया,1
चटकाया,1
बेवकूफ,1
चैनल,2
लगाएंगे,3
चाहती,3
डालें,2
तभी,1
मानी,1
आपको..,1
निकालें,2
पहुंचाएगी,2
देखें,3
सहारा,1
सफर,1
मिलीं,5
डरे,1
चाहूंगीं,1
शेड्यूल,1
एन.एन,1
हराया,4
रनोट,1
वन,1
से..,2
जीतेंगी,1
बख्शेगी,1
जीती,2
कहूंगा,3
मिठास,1
सिमटी,1
चखा,1
नैया,1
वोटिंग,1
मतदान,3
जीतीं,5
तोहफा...,1
निकाला,4
तस्वीरें....,1
बनाया,22
सांसद,1
दिखेंगे,9
बंधेंगी,1
रचाएंगी,1
सौंपेंगे,2
पेंशन,2
महिमा..,1
डमरूधर,1
