swar,frequency
अ,17414.0
आ,15369.0
इ,16300.0
ई,11120.0
उ,12945.0
ऊ,450.0
ए,23907.0
ऐ,1637.0
ओ,2462.0
औ,9650.0
अं,1229.0
अः,0.0
ऋ,105.0
