halfLetter,frequency
ब्,1607
ण्,62
स्,11340
त्,8142
द्,3456
ष्,1794
न्,5516
क्,10366
र्,15729
प्,7984
ग्,2747
म्,1894
व्,990
ट्,3650
च्,1293
श्,2522
ल्,5496
ध्,1297
ज्,1986
फ्,1877
ख्,1364
ड्,593
भ्,163
ठ्,11
थ्,182
ह्,87
य्,23
ु्,8
झ्,5
ि्,13
घ्,29
ै्,1
ू्,1
ञ्,1
