matra,frequency,probability
ा,6325.0,0.28932802708018845
ि,5607.0,0.2564841498559078
ी,1107.0,0.05063812268423219
ु,2025.0,0.09263071222725401
ू,246.0,0.011252916152051599
े,1599.0,0.0731439549883354
ै,534.0,0.024427061891038836
ो,816.0,0.03732674626046384
ौ,206.0,0.00942317368830337
ं,1835.0,0.08393943552444993
ः,1151.0,0.05265083939435525
ँ,0.0,0.0
ृ,410.0,0.018754860253419332
