matra,frequency,probability
ा,54.0,0.225
ि,32.0,0.13333333333333333
ी,12.0,0.05
ु,34.0,0.14166666666666666
ू,5.0,0.020833333333333332
े,17.0,0.07083333333333333
ै,2.0,0.008333333333333333
ो,35.0,0.14583333333333334
ौ,6.0,0.025
ं,12.0,0.05
ः,18.0,0.075
ँ,0.0,0.0
ृ,13.0,0.05416666666666667
