matra,frequency,probability
ा,2517.0,0.4657660991857883
ि,1224.0,0.22649888971132495
ी,46.0,0.008512213175425611
ु,41.0,0.007586972612879349
ू,12.0,0.0022205773501110288
े,319.0,0.059030347890451515
ै,191.0,0.03534418948926721
ो,300.0,0.05551443375277572
ौ,35.0,0.006476683937823834
ं,625.0,0.11565507031828276
ः,94.0,0.017394522575869726
ँ,0.0,0.0
ृ,0.0,0.0
