matra,frequency,probability
ा,8.0,0.5
ि,0.0,0.0
ी,0.0,0.0
ु,0.0,0.0
ू,0.0,0.0
े,0.0,0.0
ै,1.0,0.0625
ो,5.0,0.3125
ौ,0.0,0.0
ं,2.0,0.125
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
