matra,frequency
ा,253513.0
ि,113886.0
ी,133053.0
ु,41244.0
ू,18033.0
े,199052.0
ै,42192.0
ो,81511.0
ौ,6170.0
ं,115079.0
ः,160.0
ँ,34.0
ृ,1233.0
