digram,frequency
इस,5234
की,19871
आप,545
भी,6379
हो,3038
तो,2685
के,31906
कई,1274
आए,310
पर,9465
का,9989
यह,2059
ही,3822
ने,13080
और,11064
एक,5234
को,15623
है,6021
जी,210
कि,8929
इन,783
से,13285
दल,202
या,644
कर,5045
दो,917
जा,1838
ओर,452
हर,535
आई,312
मन,88
ये,2045
नए,351
नई,237
बन,273
थे,324
उस,546
मे,88
आम,281
ले,457
जो,1172
वे,730
वो,1149
जब,1026
उन,309
यश,10
तक,1713
हम,565
जल,43
गई,1489
घर,718
वी,16
गए,1002
दे,507
तब,300
अब,1489
छह,117
दम,59
वह,1321
चल,356
दी,1184
था,1125
लग,151
तय,231
पद,212
ना,238
कह,165
..,14
रो,4
डि,4
आज,435
कम,482
फल,23
मई,172
पल,33
बल,71
सी,69
बू,1
रख,92
ली,219
शव,104
नौ,60
मठ,2
भट,5
थी,433
बच,26
सब,188
हद,30
बस,123
गम,5
दर,40
पी,40
एस,35
लव,42
रह,210
शी,8
सच,64
लु,1
कब,45
अथ,2
वन,64
जज,55
आठ,76
जय,37
भर,196
ओम,45
रे,10
झा,27
जग,8
मत,37
कस,6
दस,43
आर,22
ऋण,5
एन,10
बढ,1
खो,19
टू,30
शो,304
आग,106
डर,101
शक,85
मच,25
ठग,10
घी,8
कप,38
हल,25
कल,52
पा,69
उठ,25
नस,2
एग,1
खा,28
सौ,32
घई,5
तन,5
छू,7
लो,5
कट,16
आय,26
हक,36
रन,66
गा,4
ईद,47
सो,26
बम,64
ऐज,2
एज,5
खत,24
ए.,6
हट,12
अप,15
नच,8
पो,1
ला,39
छत,17
नो,12
एम,29
तट,9
मघ,1
घट,14
आल,2
जे,21
भय,7
डी,24
लत,5
पब,22
एल,10
आस,7
ऐप,51
ऐन,10
बे,3
तह,3
टी,16
गो,10
हज,11
सा,34
फट,4
बह,7
धन,54
हई,1
सह,15
भा,3
री,3
गऐ,1
अल,35
रथ,10
ऐस,3
रण,6
रच,10
हू,2
टच,10
उल,2
बी,30
धो,6
टस,2
मस,2
एड,6
पे,9
नव,5
डे,41
उप,34
बज,17
जन,25
फू,2
जप,5
शत,2
ठप,5
मल,1
शै,1
ओड,3
घन,1
गत,7
टन,16
यू,12
नर,1
उर,2
मं,1
मर,12
गौ,15
गे,3
दा,1
जू,1
वद,1
एप,14
थम,8
ऐड,4
शह,5
सर,16
दू,1
भू,1
तप,1
तू,3
हे,1
खल,2
मा,3
ठन,3
हब,4
पथ,6
छा,6
आफ,5
धर,12
ई.,2
ओ.,4
नन,17
रब,1
आइ,1
यस,13
कद,10
टु,4
रस,5
पट,2
फन,3
आन,2
डा,2
सट,1
डब,4
नम,2
जच,1
गन,3
रा,9
वध,8
सन,2
नट,2
कण,2
ईज,2
टल,6
बै,1
छठ,16
ईश,1
नभ,1
अम,1
पच,2
जद,3
मऊ,4
पू,1
टफ,3
एच,2
लय,4
मी,1
ढा,1
गज,3
नह,1
आश,1
डल,1
ऊब,1
हग,2
बठ,1
इज,2
थक,2
फर,1
ओए,4
दि,2
ढह,2
यो,2
जव,1
प्,2
लद,1
छः,1
लौ,1
हस,1
प.,1
दब,1
रु,5
रू,1
सू,15
ची,8
ऐश,3
रद,1
रट,1
भं,1
नः,1
जस,1
तस,1
पन,1
ता,1
धक,1
औप,1
खस,1
न.,2
एट,1
मद,1
वर,2
दु,1
नी,2
नल,2
छप,1
एव,1
बा,2
गल,1
