monogram,frequency
व,90
आ,681
न,570
ए,32
फ,1
द,63
क,5
.,86
ओ,12
अ,2
ई,9
ब,4
ं,2
ज,2
।,2
ऐ,6
उ,1
स,1
र,1
झ,1
ल,1
ॐ,2
ह,1
म,1
