swar,frequency
अ,20237.0
आ,17810.0
इ,18951.0
ई,12965.0
उ,15121.0
ऊ,526.0
ए,27980.0
ऐ,1976.0
ओ,2773.0
औ,11232.0
अं,1435.0
अः,0.0
ऋ,131.0
