ending,frequency
हैं,5575
होगा,355
है,13688
होंगे,144
आया,56
की,474
गए,459
लगेंगे,11
किया,630
आएंगे,69
थीं,231
बुलाया,12
पहुंचे,61
लिया,263
थे,1233
गई,632
हुई,222
बताया,79
थी,1636
करेगी,73
चाहेंगे,7
मिलेगी,50
जाएंगे,102
सकेगा,21
जाता,15
चाहिए,352
दिया,690
था,2546
देखा,13
दोहराई,3
लगी,42
निकले,23
लगा,58
कही,25
दी,400
हों,31
डाला,28
.,14
गया,937
रहे,142
रहा,143
सुनीं,2
रही,97
रखा,26
हुआ,211
कराया,17
हो,140
सुनाएगा,3
होंगी,29
आएगा,28
नहीं,126
जाए,173
दें,52
भी..,1
करें,171
सके,96
जाएगी,183
जाएगा,348
देंगे,76
करेंगे,253
हैं..,14
देखेंगे,9
लेगी,11
होगी,290
था..,3
मिला,66
करो,9
कीजिए,10
दीजिए,11
दुख,1
मिले,51
दे,22
लिए,33
मारा,9
खुलासा,1
बौखलाहट,1
हुए,113
दबोचा,6
आए,105
आईला,1
हूं,187
आरोपी,1
दावेदारी,1
सुनेंगे,2
बने,19
ज्यादा,1
नहीं..,3
रहेगी,16
मिलता,9
सकता,64
रखेगा,4
करेगा,78
किए,69
रहें,13
खुलेगा,2
रहेंगी,13
पाया,18
लें,42
बताई,16
..,5
आर,4
लेकिन..,1
बचाते,1
लगाई,13
होता,24
सुनाए,4
पातीं,3
करवातीं,1
मिलेगा,72
मारी,5
के.वी,2
ए.के,2
सौंपा,8
लो,6
ने,10
मिली,83
निर्देशित,1
मानेंगे,3
गईं,35
उठी,1
दिए,67
,116
चुनें,4
जाएं,42
कहें,2
सकें,35
निकला,12
होता..,2
है..,27
रखी,16
करे,38
रखे,2
बनाएं,7
जगह,1
बढाएं,1
रहिए,3
करेंगी,38
पोल,2
शूटिंग,2
करते,18
जताया,11
रखेगी,4
रखेंगे,7
मांगेगी,1
लगाएगी,1
खींचेगा,1
बातें,3
कहानी,6
बनाएगी,9
जान,1
अफवाह,1
भागे,1
गर्इ,1
पहुंची,30
आई,63
दिलाया,2
चला,16
करना,10
स्वीकारेगा,1
सुनाया,19
ली,101
दिख,1
खाना,2
साथ,10
रु,36
पाउंगा,1
पाएं,2
चुना,5
लगते,1
सुधरेगी,1
होना,1
सकती,24
पाएगा,13
सकते,46
खेलूं,1
खबरें,2
खास,11
सका,20
लगेगा,21
यार,1
जन्म,1
बनता,1
पतला,1
जीते,5
देते,4
देखी,6
एस,13
आईं,29
बनाना,1
तैयारी,3
लगीं,5
बुलाएंगे,2
ठहरिए,1
बहार,1
गाएं,1
सुकून,1
बाहर,2
पाए,29
जाती,5
हुईं,19
लगेगी,6
रहेगा,41
पाएंगे,32
आएगी,21
रहीम,1
वैन,1
कैमरे,2
वस्तुएं,1
फोन,1
ड्राइव,1
शामिल,2
निकाली,6
दो,6
