halfLetter,frequency
क्,12059
श्,2912
त्,9493
स्,13307
र्,18205
ब्,1891
प्,9142
न्,6399
ख्,1597
ल्,6456
द्,3988
भ्,167
फ्,2120
ग्,3145
ट्,4414
म्,2248
च्,1535
ज्,2313
व्,1136
ष्,2114
ड्,705
ध्,1380
थ्,189
ह्,102
झ्,5
ण्,67
य्,36
ठ्,11
ि्,16
घ्,29
ै्,1
ु्,8
ू्,2
ञ्,1
छ्,1
