matra,frequency
ा,61739.0
ि,27202.0
ी,32334.0
ु,10240.0
ू,4462.0
े,48868.0
ै,10168.0
ो,19868.0
ौ,1529.0
ं,27943.0
ः,31.0
ँ,12.0
ृ,297.0
