halfLetter,frequency
न्,1494
स्,3294
क्,2930
र्,4693
ब्,497
ल्,1553
ज्,534
फ्,466
ख्,395
प्,2237
म्,516
ग्,799
त्,2433
द्,908
ट्,1141
व्,254
च्,430
श्,740
ड्,166
ष्,518
ध्,301
भ्,48
झ्,1
ण्,16
थ्,48
ह्,12
य्,9
घ्,29
ठ्,1
ू्,2
ि्,7
