word,frequency
नोकिया,5
लूमिया,7
हुआ,192
भारत,228
में,5927
इंच,4
की,4958
एचडी,4
स्क्रीन,5
वाला,76
बिजनेस,16
फैबलेट,9
है,1478
ये,502
टैबलेट,1
और,2793
स्मार्ट,2
फोन,76
का,2554
कहलाता,4
आज,123
हो,824
गया.,234
यह,572
विंडोज,4
सिस्टम,10
पर,2077
चलता,10
है.,3233
इसकी,83
कीमत,30
रुपये.जानें,1
इसके,311
हर,109
फीचर,5
के,7800
बारे,158
विस्तार,11
से.,11
सीरीज,34
पहला,30
डिवाइस,5
जिसकी,18
एलसीडी,1
पूरी,111
तरह,224
से,3362
क्वालिटी,7
चार,60
पीला,1
सफेद,6
उपलब्ध,11
होगी.,83
इस,1351
सभी,203
फीचर्स,5
मौजूद,70
हैं.,1370
इसमें,94
बाकी,40
लाइव,2
टाइल्स,1
पीपल,2
हब,1
जैसे,87
उनके,300
लिए,994
सबसे,154
ज्यादा,160
काम,224
जो,285
अपने,467
फाइल्स,1
को,3759
ही,945
निपटाने,1
यकीन,10
रखते,16
कंपनी,67
दावा,57
कि,2162
भारतीय,134
बाजार,27
लिहाज,11
बेस्ट,11
है.इसमें,1
अलावा,121
नए,44
लिंक,3
हैं.फोन,1
ईमेल,6
सुरक्षा,87
भी,1631
खास,70
ख्याल,10
रखा,71
गया,597
मेगापिक्सल,4
रियर,9
कैमरा,23
फोटो,37
बेहतर,18
बनाने,90
डूअल,1
एलईडी,1
फ्लैश,1
लाइट,3
इसका,69
फ्रंट,6
कैपिसिटी,2
प्रोसेसर,4
एक,1343
कमाल,7
उन,59
लोगों,385
बहुत,142
पसंद,60
वीडियो,94
शौकीन,1
इन,188
बिल्ट,1
माइक्रोफोन,2
चलते,56
जब,262
कहीं,34
किया,762
जाता,149
तो,655
दिशा,15
आ,172
रही,581
साउंड,3
बेहतरीन,20
ढंग,11
कर,1229
लेते,28
इससे,152
उम्दा,3
किस्म,1
जाती,73
बैटरी,7
घंटे,64
तक,448
चल,92
सकती,115
नेटवर्क,13
अगर,133
इस्तेमाल,52
लाया,15
जा,459
सकता,141
रेगुलर,4
वायरलेस,3
चार्जिंग,6
मुमकिन,8
ओपिनियन,9
पंजाब,56
पंजे,1
अमरिंदर,7
तौर,93
पहली,78
वोट,52
फीसदी,65
बात,322
करें,51
आम,61
आदमी,34
पार्टी,310
मिलने,71
अनुमान,12
जबकि,98
कांग्रेस,284
मिल,66
सकते,120
वहीं,150
गठबंधन,27
मिलते,19
दिख,26
रहे,536
अन्य,84
खात,2
जाने,190
संभावना,11
इंडिया,107
टुडे,31
ग्रुप,7
ओर,127
किए,144
ताजा,10
पोल,27
अनुसान,1
हाथ,62
सत्ता,46
फिसलती,1
नजर,159
यहां,157
