vyanjan,frequency
क,52068.0
ख,4053.0
ग,10634.0
घ,961.0
ङ,0.0
च,5367.0
छ,1480.0
ज,12416.0
झ,459.0
ञ,67.0
ट,7890.0
ठ,800.0
ड,5343.0
ढ,508.0
ण,1179.0
त,19730.0
थ,4258.0
द,14219.0
ध,2926.0
न,29615.0
प,17059.0
फ,4226.0
ब,13072.0
भ,4741.0
म,24770.0
य,15004.0
र,46425.0
ल,22350.0
व,11778.0
श,6379.0
ष,1847.0
स,29261.0
ह,27318.0
