ending,frequency
गया,237
है,3266
से,11
होगी,83
हैं,1386
किया,146
करेंगे,44
हूं,55
था,644
समझे,1
रहेंगे,15
चाहिए,104
मानेंगे,1
सकती,6
करूंगा,2
हो,44
करें,40
तक,1
गई,140
हुआ,43
दिया,155
,39
जाएगा,72
दी,83
की,115
थे,294
सकें,9
गए,115
थी,383
गिराया,4
रही,20
होगा,68
लिए,13
खुला,2
रहा,24
वही,1
देगा,6
मिला,24
लगता,2
ऐसी,1
यहां,1
बेबी,1
देगी,15
ली..,1
देखिए,1
दिलाएगा,1
वाले,1
जाएंगे,16
दिखते,1
बनाया,6
रु,4
पहुंचे,7
होंगे,24
जाएं,12
कहर,1
लेगी,2
..,3
रहेंगी,5
थीं,70
आईं,6
हुई,45
के,5
आए,29
भेजा,3
दिए,9
यात्रा,1
आई,16
ली,23
रुके,3
लगे,18
लिया,65
नावेद,1
जाएगी,33
जाएंगी,5
डाला,7
रूकी,1
निकाला,1
कराया,6
हुए,19
रखे,3
बनेगा,2
आएगी,3
मिलेंगे,1
करते,4
मिली,25
लगाया,6
निभाएंगे,3
रखो,2
यह,1
से..,2
दिखा,3
मौत,1
जिक्र,1
थे.,1
गिरा,1
लगा,11
था.,1
होता,7
करता,5
सकता,12
चांस,1
बोझ,1
भरेगा,1
भिजवाया,2
जाए,27
है..,8
भी,7
खान,1
घटगे,1
डाउन,1
बधाई,2
बताया,11
देखी,3
दिखाया,2
शुक्रिया,1
शुभकामनाएं,1
रहे,39
पाएगी,2
बचाई,3
उन्होंने..,1
किए,8
कही,4
शुरू,1
मिले,11
रखा,5
ने,3
ही,1
कीजिए,3
अलापेंगे,1
जारी,1
आएंगे,23
सकी,6
निभाई,2
समझी,1
सके,27
चलाया,1
देंगे,15
नहीं,30
लें,13
ले,1
अहमदाबाद,2
लतीफ,1
बनाएगी,3
चलाई,1
जीतेगी,1
कहा,15
चलें,3
सुनी,2
पहुंचाया,1
मिलेगी,9
मिलेगा,13
मांगा,2
युवराज,1
धृतराष्ट्र,1
बात,1
में,11
बने,13
जताएगी,1
दें,15
लगाई,2
सुनाया,1
लगी,9
रचाना,1
सुनाएगा,1
बंधेंगी,1
रचाएंगे,1
होंगी,3
बनाएंगे,2
पाई,7
आई.एस.आई,2
जायेगी,2
दोस्त,1
गूंजा,1
उठाया,6
सकेंगे,6
खेलेगा,2
