swar,frequency
अ,5164.0
आ,4435.0
इ,4650.0
ई,3151.0
उ,3654.0
ऊ,90.0
ए,6937.0
ऐ,433.0
ओ,682.0
औ,2812.0
अं,330.0
अः,0.0
ऋ,21.0
