triagram,frequency
हुआ,192
में,5927
इंच,4
फोन,76
है.,3233
से.,11
तरह,224
चार,60
सभी,203
लिए,994
काम,224
खास,70
रखा,71
गया,597
रही,581
ढंग,11
अगर,133
तौर,93
वोट,52
बात,322
मिल,66
दिख,26
रहे,536
खात,2
किए,144
पोल,27
हाथ,62
नजर,159
रहा,466
बार,214
बीच,202
कुल,48
जीत,57
हैं,524
महज,30
लोग,180
रूप,106
मान,13
नया,42
साथ,700
देश,224
बाद,745
मैं,196
कुछ,347
आगे,99
था.,639
हूं,57
ऐसे,161
खुद,94
दूर,45
उठे,2
कही,17
कहा,659
हुई,216
ऐसा,134
जून,51
अंत,12
इसे,97
नाम,209
कोई,318
शहर,48
भला,7
हाई,25
उठा,20
दिए,75
हो.,43
अलग,52
कौन,30
फिर,207
बनी,21
उसे,172
हटा,15
अभी,103
पाई,11
जोन,6
तक.,1
अमल,8
शेर,8
रूक,2
साल,303
गिर,22
बने,44
हुए,504
सका,8
मौत,135
गई.,139
खाट,2
ऊपर,18
चला,48
दी.,83
नईम,4
की.,113
गृह,36
चीफ,16
पता,100
टीम,114
थे.,293
लगी,35
नही,7
वजह,160
आने,107
असर,31
कमी,19
दिन,155
हेड,9
यही,56
पाक,5
भेज,33
पास,165
समय,169
मदद,107
गए.,115
थी.,380
ढेर,13
वही,10
बता,146
दें,108
मार,48
तीन,118
घेर,8
जिस,78
खुश,24
सेब,13
पाए,34
सही,43
दिल,30
वजन,4
रुख,18
बना,65
बजे,49
इसी,123
रेप,62
रोज,17
सकी,6
खूब,25
आता,28
आया,81
मां,98
बहन,21
कभी,72
सोच,19
ऐसी,54
सिर,24
लौट,11
बिग,32
पार,26
सेफ,3
गिल,3
थूक,1
टूट,9
आकर,19
अली,51
गजल,14
आहत,4
ठीक,30
नीम,1
फूल,11
चूक,1
समझ,25
आती,15
छवि,12
किस,28
शाह,45
देख,40
भूल,13
उसी,38
जगह,63
पेश,38
मेल,7
सफल,20
चाल,3
भाग,13
लगा,102
सेल,13
जान,49
कलह,2
नगर,26
गठन,10
सुर,5
कदम,57
कवर,16
रु.,4
गौर,4
यदि,22
हवा,11
अहम,48
सात,32
तेज,26
घोष,2
पतन,1
जुट,13
आएं,7
खबर,68
कोल,3
भरे,10
पंप,4
करा,24
बेड,5
एवं,25
राम,83
घुस,10
अजय,6
तरण,4
गलत,34
...,3
सैफ,13
खान,137
मचा,5
बोल,13
मेन,4
भरी,12
वैन,8
धाम,5
दास,4
शोक,11
हिट,14
कमर,2
तरफ,87
हाल,70
संग,22
मगर,37
शाम,38
महल,1
रोड,26
जाल,5
जेल,66
दूध,19
छपी,5
के.,5
आए.,27
साफ,67
फूड,2
लैब,6
घुन,1
अरब,13
तेल,14
छठा,1
हित,12
दशक,11
चीन,66
जोर,15
लाभ,14
याद,26
भीम,2
आई.,16
आधा,6
ली.,23
देर,33
लगे,40
शिव,13
सजा,25
केस,77
कैद,7
बरी,3
काट,12
तथा,32
लाल,27
शरण,2
असम,15
तहत,71
बंद,80
शेख,7
लाश,23
ढाई,6
सोई,1
हवस,6
नदी,20
ईंट,2
लाख,125
होम,16
लोन,18
बेस,1
रेट,8
घटा,3
लूट,19
कार,49
नशे,7
खेल,35
सुन,5
कुद,1
बचा,9
ठोक,2
अदा,10
असल,17
आशा,5
मृत,9
राज,24
वार,8
पति,35
रूम,16
चाय,6
माफ,3
एंड,19
मूल,10
रकम,11
बहस,14
गैप,3
शूट,5
रहो,2
रखो,3
काल,11
बचत,1
जमा,18
खोल,9
मरे,2
कदर,8
बरस,3
फटा,1
हां,8
संघ,20
राय,23
बाई,6
सरल,3
यान,1
रात,70
फैल,16
जता,4
गला,8
घाट,8
भरा,11
खां,2
धुन,4
रखी,23
गेट,15
सभा,16
डेट,16
कीच,2
भी.,7
रोल,39
सहज,3
भाई,47
ईशा,11
गाज,2
चोट,16
खून,25
गईं,10
आंत,1
लीड,13
यूथ,2
बजट,27
आटा,3
डेड,1
हार,17
सेह,1
मधु,5
रचा,2
चयन,8
आयी,2
गैर,5
तभी,29
रोष,3
मैन,6
उतर,12
रेल,10
कसा,1
टैग,4
सीट,61
रखे,18
किम,18
चोल,2
ने.,3
ही.,1
जंग,19
चले,13
सेट,17
चीज,15
यहा,2
निक,7
जला,6
लहर,11
धुर,1
रास,2
जगन,1
विद,3
दखल,4
पचा,1
बीड,4
संत,8
आना,15
डील,15
हटे,1
जेट,13
ले.,1
रोक,25
कौर,17
साए,3
कोट,1
फूट,2
बेच,5
तले,2
दबा,4
बसर,2
बीत,3
बैठ,6
सबक,5
सना,14
रुक,3
जीप,2
ठान,2
दाग,3
खेद,5
दुख,6
भले,22
बेल,3
दूं,3
तूल,3
बीफ,4
बाप,3
उलट,3
तुम,18
मीट,4
बाल,10
जाए,22
मगध,3
आइए,7
छीन,1
मोह,2
लाए,4
दंड,3
शंख,2
आते,25
डाल,13
लेक,1
करण,57
आंख,3
मेड,3
आका,2
नये,5
बदल,17
हों,6
पान,2
डूब,2
सघन,2
लदे,1
शमी,5
पैर,5
गति,2
मैच,20
फीस,3
शोज,4
दो.,2
गाओ,1
पूछ,6
बीस,3
एयर,27
जैश,6
दौर,19
भवन,6
बाज,2
उमर,3
कसर,1
शाद,1
लिख,4
दुआ,2
पाल,14
मात,2
सबब,1
सपा,20
चरण,17
सोम,1
अटल,4
जैन,6
राव,8
रवि,6
सफर,8
चैन,6
गोद,6
एकल,1
रशा,1
फेज,2
ऋचा,1
मना,22
चुप,7
वेज,1
करन,1
कटी,1
लाद,1
सीन,8
तंज,3
मनु,5
तनु,1
बहल,6
ना.,1
घूम,2
टेक,8
जगत,12
लीग,6
टी.,1
एस.,3
वी.,2
आर.,2
पीठ,7
जफर,2
नोट,18
आये,3
थमा,2
कहे,8
किन,3
खपा,1
इंक,1
सनी,6
एअर,1
डबल,7
पैक,2
शेष,4
गहन,3
खेर,13
सर.,1
जिन,17
सीज,2
सील,10
चंद,7
ओवी,2
बैन,8
रंग,14
छोर,1
हरि,2
वीर,3
जोश,7
तंग,3
रची,4
खनन,2
लेख,2
वैध,5
पलट,5
गयी,11
चौथ,3
धूम,2
घना,2
घने,3
आला,10
लेट,15
ठंड,7
ईडी,4
ऐंड,1
मील,1
यमन,8
सदन,20
कहो,6
चाक,2
झूठ,7
दीप,9
जले,2
पले,1
हूँ,2
जहल,1
जाम,7
आजम,7
सदर,2
कसम,1
खाई,4
कौम,1
रील,2
कलर,6
ईयर,2
तीस,3
आदि,10
तार,4
मंच,12
टाल,5
फंड,11
रेस,1
गोल,2
सास,5
जिम,6
ओनी,1
सैर,3
योग,19
थीं,23
केक,3
बेक,1
धार,2
गुट,3
खुल,3
ये.,1
बडा,1
कैश,18
यूं,13
आधी,2
दीं,1
बुआ,4
ठोस,5
रमन,12
नील,8
फसल,1
शौच,1
अमर,4
लोक,9
सटे,6
ठगी,9
इसस,2
सती,4
देह,1
शीश,2
सिख,13
परम,1
को.,4
शहद,2
चना,1
भोग,6
हवन,5
शयन,1
चेन,7
बचे,8
पोज,5
गुड,2
फेल,3
आउट,2
खंड,1
कंठ,2
कोष,4
दान,11
रेड,4
एवज,1
उसक,1
डरे,4
है।,4
घनी,1
गैस,2
सईद,3
बैच,2
लीव,6
का.,3
चली,13
फीट,7
चीख,1
बंध,2
कपल,9
अबु,4
ओवर,6
रूट,1
लात,1
पवन,2
उरी,13
रूस,21
कसी,1
गये,5
कोर,2
लें,4
भर.,1
कोड,6
गुम,1
रजत,1
पदक,2
राग,5
लला,2
गले,8
गनी,2
अबू,1
रबर,1
हरी,5
सजग,2
बुक,9
फैन,8
ताल,2
आदर,3
कला,5
छूट,6
लचर,1
शौक,1
घटी,3
दोष,3
फील,3
सके,7
आईं,9
मिस,12
सेन,4
दंग,1
रूख,4
शिन,1
नयी,1
सकल,1
माह,11
आदत,9
आदी,1
अपर,3
दाम,6
वेब,11
गुल,1
टंग,1
बिल,16
अटक,1
रनर,2
कवि,2
गाय,10
माई,3
बहा,3
अमन,5
लहू,3
झेल,8
हेट,1
वाच,1
आसन,2
शोध,8
डीन,1
बैड,1
राह,7
गवी,1
सदी,1
फेस,2
सगे,1
हंस,3
पशु,1
सजी,2
अघा,1
मजे,2
विश,2
जनम,1
हमे,1
शपथ,8
छाई,2
शुभ,2
अंक,4
ऋषि,14
फेम,4
चलन,2
नकल,11
गुण,4
कतई,2
अहं,1
सीख,3
झोल,1
धूल,5
ऐशो,1
अंश,1
लपक,1
ओके,1
यौन,13
युग,1
थके,1
पंख,2
चिर,2
बिछ,1
नयन,1
धुल,1
लुट,1
दीन,1
शलभ,1
भोर,1
बुझ,1
पेज,9
घास,1
होश,2
कैफ,11
मिट,2
पैच,1
खोज,2
लीक,8
बगल,4
जूम,3
यूज,4
बटन,2
धूप,3
मजा,6
कहर,4
गली,2
पडी,1
सुध,1
पहल,8
बास,1
टूक,1
बसु,5
लुक,15
हबी,1
साध,3
वेल,2
भार,1
घोर,1
देव,1
अति,1
सवा,3
भंग,1
तीर,1
रघु,3
डा.,1
दाल,3
आपस,3
जाग,1
हिप,1
जेब,5
रतन,5
हनन,2
बहू,6
नोज,1
जटा,1
नमः,2
जाप,4
बाट,1
पाठ,2
हुं,1
मनी,5
विज,5
आदा,1
बस.,2
मीर,3
नवल,4
डटे,1
रूह,3
बंट,1
छठी,2
बूथ,2
इधर,2
सइब,1
कटे,1
खेत,1
आयु,9
धवन,11
हसन,3
घिर,2
चिट,2
चेक,15
बैक,2
लवर,1
झाग,1
तैर,2
गेल,9
बैश,2
चौक,9
आधे,3
सटी,4
वधू,2
बोझ,4
बरत,1
एसे,1
भाप,1
एलो,1
एसी,2
मोड,1
धता,1
सतत,2
तलब,3
बके,1
कान,2
डरा,2
खौफ,2
डर.,1
डरी,1
ओएस,1
मिड,1
रैम,1
रैप,2
खाए,1
अता,1
गीत,2
करो,1
औरत,1
छलक,1
एएम,1
कथन,1
दवे,2
अदन,2
बिन,2
पोप,1
मोल,2
भगा,1
