matra,frequency,probability
ा,449.0,0.36238902340597257
ि,417.0,0.3365617433414044
ी,26.0,0.020984665052461663
ु,1.0,0.0008071025020177562
ू,0.0,0.0
े,139.0,0.11218724778046812
ै,30.0,0.024213075060532687
ो,25.0,0.020177562550443905
ौ,1.0,0.0008071025020177562
ं,80.0,0.0645682001614205
ः,27.0,0.021791767554479417
ँ,0.0,0.0
ृ,44.0,0.03551251008878128
